transcript,lineA_time_x,lineA_time_y
AT4G38420.3,180.309054554847,88.2532843725659
AT4G38420.2,70.4627683969296,78.8108848155335
AT5G14780.1,2343.65562083179,3287.25078350412
AT4G25750.1,21.5102912920175,70.7729407963372
AT1G25510.1,318.412803114611,306.498939946684
AT5G53860.5,185.539726799356,90.299376380635
AT5G53860.4,0.294583861171843,27.0294072462498
AT1G73840.2,38.3990825308229,8.30421961226106
AT4G38430.1,3683.98603140725,3907.34737921481
AT5G53860.2,1530.89139889405,740.50425189002
AT2G40290.3,1.54562413325108,5.50476675531873
AT2G40290.2,154.089851981188,81.4961235550595
AT2G40290.1,3067.48029977386,3153.5917238395
AT1G10120.2,32.7117998836246,28.8019093160849
AT1G10120.1,815.860903218795,891.977049720534
AT3G52770.1,79.9387294683902,91.8994822542535
AT3G56900.1,455.86767586664,457.162933655838
AT1G73840.1,705.667905987506,1141.61048389473
AT3G26782.1,325.371507472227,354.791287516847
AT5G05540.2,167.848152130851,151.491261647518
AT5G05540.1,689.634224775284,785.243590545563
AT4G25340.2,26.2530550100708,0
AT3G52800.2,39.1515423300284,25.8998321007711
AT5G06440.3,117.598313842127,85.8069899083752
AT1G34770.1,80.1871079781002,62.8959164471767
AT1G34770.2,6.7754288069524,14.8286467119769
AT2G42860.1,0,0
AT1G34770.4,0,2.93797904850541
AT1G34770.5,6.81875032132119,6.96862744625835
AT1G34770.6,0,0
AT5G06440.4,10.8996028633582,11.6060040627205
AT1G15010.1,26.2922933452865,17.3804372614273
AT5G36890.2,156.268802951957,28.0650344272185
AT1G08320.2,0,6.22575992326981
AT5G01730.6,43.4392884645642,18.560498152425
AT5G01730.7,0.66187254973555,15.693520182691
AT5G01730.8,28.0236171958978,29.4371191444169
AT5G01730.9,43.1107377301125,95.5143610832614
AT5G48960.1,3237.27912997169,1968.03548082527
AT3G60450.2,414.004354899849,79.7347264046649
AT3G60450.1,503.684726653396,374.841208438028
AT1G65150.1,153.664939751229,33.4409284185089
AT4G09955.1,0.898989459061189,0.945527977020081
AT1G23140.1,91.8576792585624,91.5276762920985
AT5G01940.3,32.205897543674,39.028442721869
AT4G12870.1,136.241104234437,107.662050636211
AT3G21430.3,201.866768171516,324.697251280658
AT2G22640.1,583.567434374413,586.926983688798
AT3G54770.1,0,2.35038323880433
AT4G10440.1,1.76750316703106,0
AT2G07585.1,16.5157714179095,10.1601420368907
AT2G41905.1,20.8266714364595,46.8703335416189
AT5G56760.1,1613.38769197578,1543.23953275713
AT4G11521.1,42.6238378173119,45.0054065937486
AT5G43620.1,83.1715500729353,71.2346549683852
AT3G29375.3,673.052845529799,676.262938230671
AT3G29375.2,226.574267326046,299.91404359266
AT4G09840.2,24.4125283880991,41.3756946720676
AT4G09840.1,6.46743917996715,0.30179846505175
AT5G48780.1,22.8340363914886,42.1795651689189
AT4G30490.1,1124.29381607457,1118.49680081133
AT5G41650.1,167.754373476016,149.014477647626
AT5G04860.2,19.140421872961,26.5200447717402
AT5G04860.1,203.810156744422,377.766945796287
AT3G29000.1,42.2002815189621,11.5338692400508
AT5G17000.1,527.856098066723,682.152910284748
AT1G14420.1,0,9.32988297215201
AT1G35430.1,108.723669379758,209.24186659317
AT1G47380.1,770.886972220096,855.476180970997
AT5G17010.2,2.54568205979522,7.54496162629373
AT5G17010.3,1085.91925618451,590.042074521798
AT5G17010.1,544.008203499995,610.364187973657
AT5G17010.4,108.019920520126,99.2495794715737
AT2G32400.1,1166.99087143926,781.859215257287
AT4G32810.2,16.8755310032645,12.1897241824939
AT4G10070.1,582.58685745614,776.940279399313
AT1G14340.1,337.31157180055,458.598312737155
AT1G17235.1,7.90675095080286,2.08858757475862
AT5G51170.3,111.537296866374,37.7026233828881
AT5G51170.2,1.65468137433888,1.50899232525875
AT5G51170.1,8.38686143205875,23.2761423879094
AT3G14463.2,36.6490748806102,39.6640418927773
AT3G14463.1,6.7730366946842,8.7152839741004
AT4G10760.1,1168.13396662387,1003.31670976124
AT3G11530.1,0,0
AT3G11530.3,193.941572711672,162.770986891602
AT3G11530.2,309.38761857837,463.786701329843
AT2G24430.1,0,1.50899232525875
AT2G24430.2,0,1.17519161940216
AT3G06360.1,26.0204764628691,24.8906547008869
AT5G53902.1,12.1981888718067,9.16961220641027
AT5G01570.5,15.2318632824708,19.5649017777417
AT1G68238.1,262.044726760701,2309.10809845069
AT3G10840.4,78.7413981684047,64.5510669443666
AT3G10840.2,96.8418392419488,54.531557661862
AT3G10840.3,65.2836478153816,58.9799223412421
AT3G10840.1,1451.30811295608,1043.74472220135
AT1G24145.1,90.5933335528096,73.7913147894311
AT1G18350.1,7.7810833948332,0
AT3G46370.2,57.5337798433037,326.755089757997
AT3G46370.1,90.868414605728,0
AT4G24250.2,22.38837344906,18.8692932146385
AT4G24250.1,45.6346449170818,112.359556044355
AT1G19950.1,371.890989839041,373.839898790579
AT1G56340.2,535.161910338844,309.459319715318
AT1G63830.5,48.3776069221703,6.16436760683069
AT1G63830.4,93.0722260740985,23.0834800387865
AT1G63830.3,17.0637297368846,26.4223955633638
AT1G63830.2,62.8547317690111,28.6747641536746
AT1G63830.1,1322.03462776551,437.538196931963
AT5G18240.6,147.998660250764,129.048260432607
AT1G19940.2,46.489784913667,0
at1g21202,0.625520136039618,0.34993160711779
AT1G56350.1,312.163758418088,225.085044816231
AT4G08350.1,3767.55664382818,3684.7494986043
AT2G31540.1,3.2380303606221,5.336365648517
AT3G12100.1,486.130218976263,436.109411584144
AT3G12100.2,33.863251031549,88.463590328053
AT2G18380.1,112.60664783511,108.944251045976
AT1G71015.1,8.09164480321471,29.8608280601661
AT5G04940.1,45.0708435218924,25.8683146995706
AT1G31140.2,0.992808824603327,0
AT1G79970.3,121.467244789143,215.459311347947
AT2G36880.2,41.6649165290001,8.39748438864623
AT2G36880.1,14306.7314475935,10240.3583934563
AT1G50570.1,762.146991739932,723.941776956511
AT1G50570.2,675.773228076708,435.570198096855
AT2G07773.1,1.3237450994711,0
AT1G58430.1,0,0
AT3G04230.1,211.897577325636,160.752660209041
AT3G54150.2,9.17330909969572,7.4708292589167
AT1G17130.1,994.283887258286,1049.54990449747
AT1G62560.2,666.02709262756,236.434053918839
AT1G62560.1,2785.46981197435,705.712760002479
AT3G07425.1,4.02071347665467,5.15483514820094
AT3G18740.1,6811.24271446899,7182.99302678457
