Cluster,5,10,50,100
Yellow,0,0,9,22
Turquoise,2,2,9,21
Blue,0,0,0,2
Red,1,4,22,35
None,0,1,3,6
Green,0,0,0,0
Brown,0,0,0,0
Black,2,3,7,13
Pink,0,0,0,1
